Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,12 Mar 2025,5,Y P,"*Shirt Cloth Review: A Comfortable and Stylish Choice*

I recently purchased a shirt made from a high-quality cloth, and I must say, I'm thoroughly impressed. The fabric is incredibly soft and breathable, making it perfect for everyday wear.

*Pros:*

1. *Comfortable*: The cloth is gentle against my skin, and I don't feel any irritation or discomfort, even after wearing it for extended periods.
2. *Stylish*: The fabric has a smooth, lustrous finish that gives my shirt a sleek, modern look.
3. *Durable*: Despite being made from a lightweight material, the cloth is surprisingly resilient and can withstand repeated washing and wear without losing its shape or softness.

*Recommendation:* If you're looking for a high-quality shirt cloth, I would recommend checking out this fabric. It's available in a range of colors and patterns, and it's suitable for men's "
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,1 Oct 2024,5,Debmalya Biswas,"I recently purchased this shirt, and I am beyond impressed! The fabric is incredibly soft and breathable, making it perfect for both casual wear and dressing up. It fits true to size, with a flattering cut that complements my figure without being too tight. I love the attention to detail in the stitching and buttons – it feels high-quality and durable. Plus, it holds up well after washing, maintaining its shape and color. Overall, this has become one of my favorite go-to shirts, and I highly recommend it to anyone looking for comfort and style."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,26 Oct 2024,5,Vaishnav,"I recently purchased this shirt, and I’m quite impressed with the overall quality. The fabric feels soft and breathable, making it comfortable to wear even for long hours. The stitching is neat, and the fit is just as expected based on the size chart.

However, I noticed a couple of things that could be improved. After a couple of washes, the color faded slightly, though not significantly. Additionally, the buttons could be stitched on more securely, as one became a bit loose after some use.

Overall, it's a stylish and comfortable shirt, great for both casual and formal occasions. With a little improvement in durability, it would be perfect!"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,2 Oct 2024,4,Anik Sarkar,"The HIGHLANDER Olive Green & Black Checked Casual Shirt combines style with comfort, featuring a trendy slim fit and classic check pattern. The color combination gives it a modern, versatile look, suitable for both casual and semi-formal settings. Made from soft, breathable fabric, it's comfortable for daily wear. The fit is flattering without being too tight, making it ideal for lean or athletic body types.

Pros:

Stylish check pattern
Comfortable, breathable fabric
Versatile for casual or semi-formal wear
Cons:

May not suit broader body types
Overall, a great choice for trendy, casual fashion."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,7 Nov 2025,5,Psycho Lover,"Highlander never disappoints when it comes to casual style! This shirt has a great blend of comfort and class. The cotton fabric feels smooth on the skin and allows easy movement, even on long days. The pattern and color combination look trendy without being loud. I’ve worn it multiple times, and it still looks fresh — no color fade or loose threads so far. It’s easy to style too — looks great with jeans for a laid-back look or chinos for a smarter outfit.
If you’re looking for a shirt that’s stylish, comfortable, and affordable, Roadster is a solid choice. "
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,12 Oct 2025,5,Sparsh Singh,"Absolutely loved this olive green and black checked shirt! The colour combination is bold yet classy, giving a perfect mix of casual and stylish vibes. The fabric feels super soft and comfortable on the skin, and the fit is just right — not too tight, not too loose.

Wore it to a casual outing and got a lot of compliments for the look. It’s versatile enough to pair with jeans or chinos, and it instantly adds a cool, confident edge to your outfit.

If you’re looking for a shirt that’s both trendy and comfortable, this one’s a total winner! 💯✨"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,4 June 2025,5,Harsha Meruva,"I recently wore this shirt to an outdoor event, and I couldn’t be happier with it! The fabric felt comfortable all day, and the subtle checkered pattern added a nice touch of style without being too bold. It paired perfectly with a black t-shirt and joggers, making it ideal for a smart casual look. I also loved how lightweight and breathable it was — great for sunny weather. I’ve already received a few compliments on it, and I’ll definitely be keeping an eye out for more from this collection!”"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,28 May 2024,4,Narendra Pednekar,"I recently purchased a checked shirt from Myntra, and I'm quite pleased with my choice. The fabric quality is excellent—soft yet durable, making it comfortable for all-day wear. The fit is true to size, and the colors are vibrant and exactly as shown in the pictures. It’s versatile enough to dress up or down for various occasions. My only minor gripe is that it could use a little more length. Overall, a great addition to my wardrobe!"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,5 Dec 2025,5,Anup," am absolutely thrilled with this cotton shirt. Right out of the package, the fabric felt incredibly soft, not stiff like some other brands. The fit is true to size—it’s relaxed without being baggy, and the sleeves hit at just the right point on my bicep. I appreciate that it didn't shrink noticeably after the first wash (cold water, low dry). It's breathable enough for a warm day but substantial enough not to feel flimsy. A must-have basic for any wardrobe."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,26 Aug 2024,5,Md Nawaz,"Rating: ⭐⭐⭐⭐⭐ (5/5)I had a great shopping experience with Myntra! The website/app is user-friendly, and the product selection is vast. I ordered [product name], and it arrived quickly and in perfect condition. The quality of the product is exactly as described, and it fits perfectly. The customer service is also excellent—quick responses and very helpful. I will definitely shop from Myntra again. Highly recommend!"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,22 Sept 2025,5,Shekhar Nayak,"I recently purchased this shirt and I am genuinely impressed with the quality. The fabric feels soft yet durable and it’s incredibly comfortable to wear throughout the day. The stitching is neat and strong, showing great attention to detail.

What I love most is the fit, it’s true to size and flattering without being too tight or too loose. It works well for both casual outings and slightly more formal settings, which makes it super versatile."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,20 Sept 2025,4,Vipul Rajak,"This is my new favorite shirt! The fabric is incredibly soft and comfortable, and it has just the right amount of stretch. It fits perfectly—not too tight, but still has a nice, flattering shape. I've washed it several times, and it hasn't shrunk or faded at all. The color is rich and vibrant, and it looks just as good as the day I bought it. It's a great everyday shirt that I can dress up or down. Highly recommend!"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,7 Apr 2025,5,Sonu,"I recently purchased this shirt and couldn’t be happier with my choice. The fabric is incredibly soft yet durable, giving it a premium feel without being too heavy. The fit is spot-on — tailored enough to look sharp but comfortable enough for all-day wear. 
Whether you’re dressing it up for a meeting or going casual for a weekend outing, this shirt delivers on both style and comfort. Definitely worth every penny — "
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,10 Sept 2024,4,Akash,"I recently purchased a shirt from Myntra, and I must say I'm impressed with the fit. The shirt hugs the body in all the right places without being too tight, making it both comfortable and flattering. The material feels high-quality, and the stitching is solid. Overall, it's a great purchase, and I'll definitely be looking at more options from Myntra in the future!"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,21 Aug 2024,4,Myntra Customer,"I recently got this green casual shirt, and I must say I'm loving it! The color is vibrant and really stands out. The material is soft and comfortable, perfect for a relaxed day out. The fit is just right, not too tight or too loose. I especially like the subtle check pattern that adds a stylish touch to the shirt. Overall, it's a great addition to my wardrobe!"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,1 Nov 2023,4,Kavita Yadav,"The colour is really good but in light it seems to be little blur, colour is good one thing that I have but problem with the shirt is a material that it was really think I don't know how is it going to be to wear but material is really think and I really don't expect this.
But it's okay overall it's a good shirt 👕 at this rate"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,21 Dec 2021,5,Harsha Lucky,"The shirt was Very good and quality of clothe is Great at the given Price from the Roadster

But roadster has to work upon the width of the shirt at

bottom it was little wider than it should be

Otherwise shirt is Overall Good

But Design team of Myntra should design the shirts of size Slim fit at Bottom.

Thanks Myntraa"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,13 Dec 2020,5,Shubham,"It’s a beautiful casual shirt.
The cloth, being cotton, is very comfortable.
Length is as expected. 
The colour is very nice and will go with lighter shades of trousers. Overall it’s a fantastic deal."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,30 Oct 2024,4,Dd,"(I ordered green one)Mid quality fabric they used, it not 100% pure cotton, it mixed with polyester too, even thickness of the material also midium quality but  after wearing this it's looks like a branded cloth.. even comfortable  and colour also as shown in the picture was too good overall under 400₹ it worth 👍👍 "
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,4 Aug 2024,5,Shivam Kohli,"I recently purchased a shirt from Myntra. The shirt is crafted from high-quality fabric that feels incredibly comfortable against the skin. The color and pattern are exactly as shown in the online pictures, and the attention to detail in the stitching is impressive. Myntra’s delivery was prompt, and the shirt arrived in pristine condition."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,21 July 2025,5,Shariq Mohamed,"It’s the third one in the image. I’d ordered 4 shirts in one go, and the whole lot cost inside INR 1400, which was a definite steal. Great fit, excellent cotton material, and superb breathability. The color was exactly as specified on the product page. Packaging was just as id come to expect from Myntra, easily opened and disposed of."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,16 Oct 2025,4,Divya,"Material is bit hard. Look wise its great. 
"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,22 Nov 2025,1,Rishi Rk,"If you’re looking for a shirt that’s stylish, comfortable, and easy to style for any occasion — this green checked shirt is a great pick. The fabric feels soft and breathable, making it perfect for everyday wear, whether you’re outdoors or at work."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,13 Mar 2024,5,Akash Chougule,"I recently purchased this shirt and I'm thrilled with it! The fitting is perfect, and the cotton fabric feels incredibly comfortable against the skin. The quality is top-notch, and it's exactly what I was hoping for. I highly recommend it to anyone in search of a well-fitting shirt with excellent fabric quality."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,13 June 2025,5,Suni Joseph,"The olive and black give it a fresh, modern look, and the slim fit is flattering—neither tight nor boxy. Crafted from soft, breathable cotton, it’s super comfortable for all-day wear. Pair it with jeans or chinos for effortlessly smart-casual style. A dependable choice for any casual lineup!Nice








"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,9 Dec 2024,4,Sachin Chauhan,"The shirt is good, quality is also fine.

But it looks like the patterns are printed on the outer side, and inside the shirt has a plane green color unlike shown in the pictures, where the model folds his sleeves and the checked patterns are visible on the inside of the cloth."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,13 Aug 2024,5,Yash Moyal,"It was amazing 😍 
Nice quality and value of money 💰 
Colour and fitting was awesome 👍"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,14 Dec 2025,5,Lokanath Sahoo,"I'm very satisfied with this HIGHLANDER shirt. The Olive Green & Black check looks exactly as pictured, and the Slim Fit (Size 40) is modern and comfortable. It's a versatile casual shirt that pairs well with everything. The fabric quality is good for the price. Definitely recommend this one!"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,3 Apr 2021,5,Anish Kumar,Very promise product.. Nice fitting  having goog quality. And most important point is the  delivery  product is as similar as shown in photo.. 
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,9 Feb 2025,4,Anindya Anupam,"**Rating: ★★★★☆ (4/5)**  

The fit of this shirt is really good—slim and stylish! It looks great and sits well. But the fabric could have been better, feels a bit average. Still, a solid pick if you’re looking for a well-fitted casual shirt!"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,16 Aug 2024,5,Myntra Customer,"Shirt fit  very perfect  as per the size ordered, fabric is also so good , comfortable to wear ,Worth for the price💯"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,1 Sept 2024,5,Nilesh,"I recently purchased a Highlander shirt from Myntra, and I couldn't be more pleased. The fabric is soft and comfortable, making it perfect for everyday wear. The fit is just right and true to size, and the quality is top-notch. Overall, a great buy!"""
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,26 Apr 2024,5,Sunil Kumar,"Wow….😮- > Excellent product I’m impressed ❣️🫡
Good quality 👌🏻"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,11 July 2024,3,Venkatesh Kumar,"The checks print in this shirt is super fine with BG olive shade but the cloth quality is little poor. It's a real slim fit shirt, I felt tight at my waist. It has again became true that always you will get quality products for high price."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,3 Sept 2024,4,Shahadat Hussain,Good one 
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,18 Sept 2025,4,Ayushi,"
The shirt is of good quality with soft fabric and a comfortable fit. The stitching is neat, and it looks stylish for both casual and formal wear. After washing, the color and shape remain intact. Overall, a good purchase."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,15 Dec 2022,4,Aakash Tank,"Shirt fabric is very good and stitching is perfect to level up the fitting experience.
But the length of Shirt is overall not much so if you're somewhat slim and highty in appearance that should be short in my pov. 


"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,28 Nov 2020,5,Pranay,Quality Is Awesome. But I Want 1 Size Big.
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,11 Nov 2024,5,Polleni Sriman Rao,"I like so much Myntra it’ is a good product and quality is good price also normal for the customer it is a good app we will appreciate the Myntra for normal people getting the shopping in less price thanks once again 











"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,18 May 2024,5,Raghav Sharma,The product was good. Fit is not perfect to me. Material quality is average. Colour was amazing. Comfort was excellent. You can wear with white/black bottom. You can also layer with black/white. Anyway the product was 100% recommend. 
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,28 Oct 2024,5,Dipesh,"This Shirt is a perfect fit! The material feels comfortable, and the color is exactly as shown. It looks stylish and pairs well with both casual and semi-formal outfits. Great quality for the price—definitely a recommended buy!"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,29 Oct 2025,3,Dimple,"I bought this shirt online and overall they’re comfortable and fit well. The material feels nice and they’re great for daily wear. However, the color starts to fade after some time and a few washes. Good for the price, but the color quality could be better.

"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,15 Nov 2023,5,Sameer Kumar,"1. The shirt has a lovely color, and it's very comfortable.
2. The fabric is of high quality, making it enjoyable to wear.
3. The shirt gives off a subtle shine, enhancing its overall appeal.
4. I am genuinely happy and satisfied with my purchase."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,8 May 2024,1,Abhinav Singh,The word perfect would not be even perfect for this product. Best Quality Shirt and it's now one of the favourite shirts that I have. In budget and with the best comfort. Truly Amazing experience from Highlander and Myntra too.
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,25 Oct 2025,5,Aryaa,"I recently ordered a shirt from Myntra and I’m really happy with my purchase! The product quality is excellent, Delivery was on time too. Totally worth the price — thank you Myntra for a smooth shopping experience! 💫"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,22 Aug 2024,5,Kalyan,Superb product. The Shirt quality is good and the colour is also good. It suits all kinds of skin tone people. Excellent fit but if you are more than 44 then go for L size.less than 42 then go for M size. Comfort is good.
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,19 Nov 2025,5,V Kedari,The fabric was too comfortable and the fit was exactly perfect to the body . I washed for many times but I doesn't changes its colour it remains as it is at the first . Thank youuu myntra for such a wonderful product 
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,25 June 2020,5,Ram,It's very comfortable and classic shirt as expected. Fitting so much and quality is very good. 
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,13 Sept 2024,5,Anuj,Definitely recommend purchasing from this company. Their product is excellent quality and easy to use. I gave my review to thank me. I can send anyone a picture if they want to see it from a customer who purchased.
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,5 Dec 2020,4,Rohit,"The shirt is looking good as expected ,but little bit quality is not fully satisfied as I expected "
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,7 Oct 2025,4,Mohit,"It looks good.
but the quality is not that much good."
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,22 Oct 2023,5,Raji,"Perfect fit and I gifted my bestie he likes a lot
"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,13 Dec 2025,5,Yash Sharma,"Quality and fabric of cloth is absolutely amazing 
I bought this for my father and after wearing it he look so handsome i can’t even describe it 
Fit,quality,material,colour and comfort are fantastic.
"
Buy HIGHLANDER Men Olive Green & Black Slim Fit Checked Casual Shirt  - Shirts for Men 11780934 | Myntra,4.3,₹532,18 Aug 2024,3,Sekhar," I bought this shirt two months ago. I have a dusky skin tone, and it gave me a premium look when I wore it. The photos came out really nice too. Made with solid fabric, the quality is just right for the price. I would rate it 7 out of 10."
